Name,Price,24h Volume,24h Change
ETH,"$3,491.93",$8.10B,-1.17%
USDC,$1.00,$2.73B,-0.03%
DOGE,$0.12427,$341.31M,-0.13%
AVAX,$25.84,$568.44M,-6.65%
LINK,$13.62,$201.29M,-3.78%
MATIC,$0.5703,$146.47M,-0.97%
NEAR,$5.15,$193.88M,-4.31%
DAI,$1.00,$295.65M,-0.23%
PEPE,$0.00001154,$391.75M,-0.86%
ICP,$8.25,$39.24M,-1.10%
ETC,$23.42,$85.47M,-0.64%
WBETH,"$3,634.96",$2.10M,-1.14%
APT,$6.91,$77.81M,-0.29%
RNDR,$7.41,$103.00M,-1.45%
HBAR,$0.0782,$25.37M,-1.39%
ATOM,$6.78,$71.54M,-1.05%
XLM,$0.0909,$33.35M,-1.30%
ARB,$0.8058,$112.02M,-0.09%
ETH,"$3,491.93",$8.10B,-1.17%
USDC,$1.00,$2.73B,-0.03%
DOGE,$0.12427,$341.31M,-0.13%
AVAX,$25.84,$568.44M,-6.65%
LINK,$13.62,$201.29M,-3.78%
MATIC,$0.5703,$146.47M,-0.97%
NEAR,$5.15,$193.88M,-4.31%
DAI,$1.00,$295.65M,-0.23%
PEPE,$0.00001154,$391.75M,-0.86%
ICP,$8.25,$39.24M,-1.10%
ETC,$23.42,$85.47M,-0.64%
WBETH,"$3,634.96",$2.10M,-1.14%
APT,$6.91,$77.81M,-0.29%
RNDR,$7.41,$103.00M,-1.45%
HBAR,$0.0782,$25.37M,-1.39%
ATOM,$6.78,$71.54M,-1.05%
XLM,$0.0909,$33.35M,-1.30%
ARB,$0.8058,$112.02M,-0.09%
ETH,"$3,491.93",$8.10B,-1.17%
USDC,$1.00,$2.73B,-0.03%
DOGE,$0.12427,$341.31M,-0.13%
AVAX,$25.84,$568.44M,-6.65%
LINK,$13.62,$201.29M,-3.78%
MATIC,$0.5703,$146.47M,-0.97%
NEAR,$5.15,$193.88M,-4.31%
DAI,$1.00,$295.65M,-0.23%
PEPE,$0.00001154,$391.75M,-0.86%
ICP,$8.25,$39.24M,-1.10%
ETC,$23.42,$85.47M,-0.64%
WBETH,"$3,634.96",$2.10M,-1.14%
APT,$6.91,$77.81M,-0.29%
RNDR,$7.41,$103.00M,-1.45%
HBAR,$0.0782,$25.37M,-1.39%
ATOM,$6.78,$71.54M,-1.05%
XLM,$0.0909,$33.35M,-1.30%
ARB,$0.8058,$112.02M,-0.09%
ETH,"$3,491.93",$8.10B,-1.17%
USDC,$1.00,$2.73B,-0.03%
DOGE,$0.12427,$341.31M,-0.13%
AVAX,$25.84,$568.44M,-6.65%
LINK,$13.62,$201.29M,-3.78%
MATIC,$0.5703,$146.47M,-0.97%
NEAR,$5.15,$193.88M,-4.31%
DAI,$1.00,$295.65M,-0.23%
PEPE,$0.00001154,$391.75M,-0.86%
ICP,$8.25,$39.24M,-1.10%
ETC,$23.42,$85.47M,-0.64%
WBETH,"$3,634.96",$2.10M,-1.14%
APT,$6.91,$77.81M,-0.29%
RNDR,$7.41,$103.00M,-1.45%
HBAR,$0.0782,$25.37M,-1.39%
ATOM,$6.78,$71.54M,-1.05%
XLM,$0.0909,$33.35M,-1.30%
ARB,$0.8058,$112.02M,-0.09%
ETH,"$3,491.05",$8.12B,-1.21%
USDC,$1.00,$2.74B,-0.04%
DOGE,$0.12425,$341.48M,-0.13%
AVAX,$25.84,$568.21M,-6.61%
LINK,$13.62,$201.55M,-3.80%
MATIC,$0.5703,$146.55M,-0.97%
NEAR,$5.15,$194.15M,-4.33%
DAI,$1.00,$297.52M,-0.23%
PEPE,$0.00001154,$392.39M,-0.69%
ICP,$8.25,$39.28M,-1.10%
ETC,$23.42,$85.69M,-0.64%
WBETH,"$3,633.61",$2.10M,-1.20%
APT,$6.91,$77.94M,-0.29%
RNDR,$7.41,$103.20M,-1.51%
HBAR,$0.0782,$25.43M,-1.39%
ATOM,$6.78,$71.67M,-1.06%
XLM,$0.091,$33.40M,-1.19%
ARB,$0.8057,$112.23M,-0.10%
ETH,"$3,491.93",$8.10B,-1.17%
USDC,$1.00,$2.73B,-0.03%
DOGE,$0.12427,$341.31M,-0.13%
AVAX,$25.84,$568.44M,-6.65%
LINK,$13.62,$201.29M,-3.78%
MATIC,$0.5703,$146.47M,-0.97%
NEAR,$5.15,$193.88M,-4.31%
DAI,$1.00,$295.65M,-0.23%
PEPE,$0.00001154,$391.75M,-0.86%
ICP,$8.25,$39.24M,-1.10%
ETC,$23.42,$85.47M,-0.64%
WBETH,"$3,634.96",$2.10M,-1.14%
APT,$6.91,$77.81M,-0.29%
RNDR,$7.41,$103.00M,-1.45%
HBAR,$0.0782,$25.37M,-1.39%
ATOM,$6.78,$71.54M,-1.05%
XLM,$0.0909,$33.35M,-1.30%
ARB,$0.8058,$112.02M,-0.09%
ETH,"$3,491.93",$8.10B,-1.17%
USDC,$1.00,$2.73B,-0.03%
DOGE,$0.12427,$341.31M,-0.13%
AVAX,$25.84,$568.44M,-6.65%
LINK,$13.62,$201.29M,-3.78%
MATIC,$0.5703,$146.47M,-0.97%
NEAR,$5.15,$193.88M,-4.31%
DAI,$1.00,$295.65M,-0.23%
PEPE,$0.00001154,$391.75M,-0.86%
ICP,$8.25,$39.24M,-1.10%
ETC,$23.42,$85.47M,-0.64%
WBETH,"$3,634.96",$2.10M,-1.14%
